;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"Fecha 
Ejecuci�n 
Estimada";"Modo 
Ejecuci�n";"Prioridad 
Testing";Complejidad;Nombre Testing;Pre-Condiciones;Descripci�n Caso;Modulo;Rol;"Nombre 
Paso";Descripci�n Paso;Resultados Esperados;"Resultados 
Obtenido";Restricciones;Tipo de Caso;Tipo de Prueba;Observaciones
;;;;;;;;;Paso6;"Clic en ""No"".";El mensaje se va y los datos que antes llene se mantienen;OK;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_04 - Ver mis tutor�as ofertadas- ESC_1;"Tutor logueado con la oferta ""C�lculo en una Variable"" publicada.";Verificar que la tarjeta de la oferta muestre todos los campos funcionales con datos correctos.;Mis Ofertas;Tutor;Paso1;Ir a la seccion de Mis Ofertas;"Se visualiza en la parte superior un encabezado de bienvenida con la foto de perfil del usuario y el saludo ""Hola de nuevo, Henry"".

 Debajo, se observa el t�tulo principal ""Mis Ofertas"", junto al cual se ubica el bot�n de acci�n ""Publicar Oferta"". 

Tambien, se muestra una descripci�n indicando: ""Consulta aqu� todas las tutor�as que est�s ofertando.""

ademas se muestra una lista con 
la tarjeta: C�lculo en una Variable, Ingenier�a Civil, Descripci�n, $8/h, Publicado 01-10-2025, Presencial y una imagen.";;;;Funcional;
;;;;;;;;;Paso 2;Desplasarse hacia abajo ;Se objserva una paginacion con una fleja hacia la izquierda en el centro el numero 1 y a la drecha otra fecha hacia la derecha;OK;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_04 - Ver mis tutor�as ofertadas- ESC_2;Tutor logueado no tener ninguan oferta publicada;Verificar el comportamiento del sistema cuando no se tiene ninguan oferta publicada;Mis Ofertas;Tutor;Paso1;Ir a la seccion de Mis Ofertas;"Se visualiza en la parte superior un encabezado de bienvenida con la foto de perfil del usuario y el saludo ""Hola de nuevo, Henry"".

 Debajo, se observa el t�tulo principal ""Mis Ofertas"", junto al cual se ubica el bot�n de acci�n ""Publicar Oferta"". 

Tambien, se muestra una descripci�n indicando: ""Consulta aqu� todas las tutor�as que est�s ofertando.""

ademas se muestra una lista vacia con el mensaje �A�n no has publicado ninguna oferta�. ";;;;Funcional;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_04 - Ver mis tutor�as ofertadas- ESC_3;Tutor logueado con 12 pulbicaciones;Verificar el l�mite de visualizaci�n de 10 ofertas por pagina se cumpla ;Mis Ofertas;Tutor;Paso1;Ir a la seccion de Mis Ofertas;Se observa todos los detalles de dicha seccion;;;;Funcional;
;;;;;;;;;Paso 2;Desplasarse hacia abajo y ver las publicaciones;Se observa  solo 10 publicaciones y la paginacion se encuentra en  1 de 2;OK;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_04 - Ver mis tutor�as ofertadas- ESC_3;Tutor logueado con 12 pulbicaciones;Verificar que la navegacion entre paginacion de ofertas se cumpla;Mis Ofertas;Tutor;Paso1;Ir a la seccion de Mis Ofertas;Se observa todos los detalles de dicha seccion;;;;Funcional;
;;;;;;;;;Paso 2;Desplasarse hacia abajo y ver las publicaciones;Se observa  solo 10 publicaciones y la paginacion se encuentra en  1 de 2;OK;;;;
;;;;;;;;;Paso3;Click en el boton de >;Me lleva a la pagina 2 y se muestra 2 publicaciones;OK;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_04 - Ver mis tutor�as ofertadas- ESC_3;Tutor logueado con 12 pulbicaciones, Estar en la pagina 2;Verificar que la navegacion entre paginacion de ofertas se cumpla volviendo;Mis Ofertas;Tutor;Paso1;Click en el boton de  <;Me lleva a la pagina 1 y se muestra las 10 publicaciones;;;;Funcional;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_04 - Ver mis tutor�as ofertadas- ESC_4;Tutor logueado con 12 pulbicaciones, Estar en Mis Ofertas;Verificar en funcionamiento del boton Publicar Oferta;Mis Ofertas;Tutor;Paso1;Ir a la seccion de Mis Ofertas;Se observa todos los detalles de dicha seccion;;;;Funcional;
;;;;;;;;;Paso 2;Click en el boton de Publicar Oferta;Me lleva a la seccion de Publicar Oferta ;OK;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_13 - Ver ofertas de tutor�as- ESC_1;"Estudiante logueado con la oferta ""C�lculo en una Variable"" publicada por un tutor.";Verificar que la tarjeta de la oferta muestre todos los campos funcionales con datos correctos.;Inicio;Estudiante;Paso1;Ir a la seccion de Inicio;"Se visualiza en la parte superior un encabezado de bienvenida con la foto de perfil del usuario y el saludo ""Hola de nuevo, Patricio"".

 Debajo, se observa el t�tulo principal ""Encuentra tu Tutor�a""

Se muestra una descripci�n indicando: ""Descubre las diversas opciones de tutor�as que son ofertadas en la EPN, de estudiantes para estudiantes.""

Tambien se encuentra un buscador con un campo de texto que contiene el placeholder ""Busca tu tutor�a por materia"", y un bot�n amarillo a la derecha con el �cono de una lupa.

ademas se muestra una lista con 
la tarjeta: C�lculo en una Variable, Ingenier�a Civil, Descripci�n, $8/h, Publicado 01-10-2025, Presencial y una imagen.";;;;Funcional;
;;;;;;;;;Paso 2;Desplasarse hacia abajo ;Se objserva una paginacion con una fleja hacia la izquierda en el centro el numero 1 y a la drecha otra fecha hacia la derecha;OK;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_13 - Ver ofertas de tutor�as- ESC_1;Estudiante logeado, sin publicaiones de tutotias  por un tutor;Verificar el comportamiento del sistema cuando no se tiene ninguan oferta publicada;Inicio;Estudiante;Paso1;Ir a la seccion Inicio;"Se visualiza en la parte superior un encabezado de bienvenida con la foto de perfil del usuario y el saludo ""Hola de nuevo, Patricio"".

 Debajo, se observa el t�tulo principal ""Encuentra tu Tutor�a""

Se muestra una descripci�n indicando: ""Descubre las diversas opciones de tutor�as que son ofertadas en la EPN, de estudiantes para estudiantes.""

Tambien se encuentra un buscador con un campo de texto que contiene el placeholder ""Busca tu tutor�a por materia "", y un bot�n amarillo a la derecha con el �cono de una lupa.
ademas se muestra una lista vacia con el mensaje �A�n no has publicado ninguna oferta�. ";;;;Funcional;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_13 - Ver ofertas de tutor�as- ESC_1;Estudiante logeado con 12 tutotias publicadas por un tutor;Verificar el l�mite de visualizaci�n de 10 ofertas por pagina se cumpla ;Inicio;Estudiante;Paso1;Ir a la seccion de Inicio;Se observa todos los detalles de dicha seccion;;;;Funcional;
;;;;;;;;;Paso 2;Desplasarse hacia abajo y ver las publicaciones;Se observa  solo 10 publicaciones y la paginacion se encuentra en  1 de 2;OK;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_13 - Ver ofertas de tutor�as- ESC_1;Estudiante logeado con 12 tutotias publicadas por un tutor;Verificar que la navegacion entre paginacion de ofertas se cumpla;Inicio;Estudiante;Paso1;Ir a la seccion de Inicio ;Se observa todos los detalles de dicha seccion;;;;Funcional;
;;;;;;;;;Paso 2;Desplasarse hacia abajo y ver las publicaciones;Se observa  solo 10 publicaciones y la paginacion se encuentra en  1 de 2;OK;;;;
;;;;;;;;;Paso3;Click en el boton de >;Me lleva a la pagina 2 y se muestra 2 publicaciones;OK;;;;
;Manual;Alta;Media;US_13 - Ver ofertas de tutor�as- ESC_1;Estudiante logeado con 12 tutotias publicadas por un tutor, Estar en la pagina 2;Verificar que la navegacion entre paginacion de ofertas se cumpla volviendo;Inicio;Estudiante;Paso1;Click en el boton de  <;Me lleva a la pagina 1 y se muestra las 10 publicaciones;;;;Funcional;
;Manual;Alta;Media;US_14 - Buscar ofertas por materia - ESC_1;"Estudiante logueado con la oferta ""C�lculo en una Variable"" publicada por un tutor. Estar en la seccion Inicio";Verificar que la busqueda funcione  con un t�rmino de materia coincidente.;Inicio;Estudiante;Paso1;"Click en el campo de busqueda que tiene el sigueinte mensaje""Busca tu tutor�a por materia""";"se borra el mensaje ""Busca tu tutor�a por materia""";;;;Funcional;
;;;;;;;;;Paso2;"Escribir ""C�lculo""";Se observa lo que se escribio en el campo busqueda;OK;;;;
;;;;;;;;;Paso3;Click en el boton amarillo con el icono de lupa;"Se filtra la lista y me muetsra la oferta  ""C�lculo en una Variable""";OK;;;;
;Manual;Alta;Media;US_14 - Buscar ofertas por materia - ESC_3;Estudiante logueado con 2  ofertas ublicadas. Estar en la seccion Inicio;Verificar que la busqueda no permita el ingreso de caracteres especiales;Inicio;Estudiante;Paso1;"Click en el campo de busqueda que tiene el sigueinte mensaje""Busca tu tutor�a por materia""";"se borra el mensaje ""Busca tu tutor�a por materia""";;;;Funcional;
;;;;;;;;;Paso2;"Escribir ""C�lcul##o""";Se observa lo que se escribio en el campo busqueda;OK;;;;
;;;;;;;;;Paso3;Click en el boton amarillo con el icono de lupa;"No se filta y muestra el mensaje de mensaje ""No se permiten caracteres especiales"".";OK;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_14 - Buscar ofertas por materia - ESC_1;"Estudiante logueado con la oferta ""C�lculo en una Variable"" publicada por un tutor. Estar en la seccion Inicio";Verificar que la busqueda funcione  con un t�rmino de materia que aun no se publica.;Inicio;Estudiante;Paso1;"Click en el campo de busqueda que tiene el sigueinte mensaje""Busca tu tutor�a por materia""";"se borra el mensaje ""Busca tu tutor�a por materia""";;;;Funcional;
;;;;;;;;;Paso2;"Escribir ""Quimica""";Se observa lo que se escribio en el campo busqueda;OK;;;;
;;;;;;;;;Paso3;Click en el boton amarillo con el icono de lupa;No muestra nada ya que no existe esa oferta publicada;OK;;;;
;Manual;Alta;Media;US_14 - Buscar ofertas por materia - ESC_2;Estudiante logueado con 2  ofertas ublicadas. Estar en la seccion Inicio;Verificar que la busqueda no filtre cuando esta vacia;Inicio;Estudiante;Paso1;"Click en el campo de busqueda que tiene el sigueinte mensaje""Busca tu tutor�a por materia""";"se borra el mensaje ""Busca tu tutor�a por materia""";;;;Funcional;
;;;;;;;;;Paso2;No escribe nada;No muestra nada ;OK;;;;
;;;;;;;;;Paso3;Click en el boton amarillo con el icono de lupa;"Muestra el mensaje de mensaje ""Por favor ingresa el nombre de una materia o el de un tutor"".";OK;;;;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_19 - Ver detalles de la oferta - ESC_1;"Estudiante logueado con la oferta ""C�lculo en una Variable"" publicada por un tutor. Estar en la seccion Inicio";Verificar que el clic en la tarjeta redirige a la vista completa del detalle de la tutor�a.;Inicio;Estudiante;Paso1;"Click en cualquier lado de la oferta  ""C�lculo en una Variable""";Me redirigue a una seccion donde estan mas a detalle la oferta;;;;Funcional;
;;;;;;;;;;;;;;;;
;Manual;Alta;Media;US_19 - Ver detalles de la oferta - ESC_2;"Estudiante logueado con la oferta ""C�lculo en una Variable"" publicada por un tutor. Estar en la seccion Inicio";Verificar que el clic en la tarjeta redirige a la vista completa del detalle de la tutor�a.;Inicio;Estudiante;Paso1;"Click en cualquier lado de la oferta  ""C�lculo en una Variable""";Me redirigue a una seccion donde estan mas a detalle la oferta;;;;Funcional;
;;;;;;;;;Paso2;Mirar los datos de la tutoria ;La pantalla muestra: C�lculo en una Variable, Ingenier�a Civil, Impartido por: Henry Carrasco, una foto representativa, Descripci�n: Me enfoco en teor�a y ejercicios de M�todos de Integraci�n. Espec�ficamente en el m�todo por partes., Lugar de la reuni�n: Mesas Cuarto Piso CEC , $8/h adem�s de Contacto: 0998456874;OK;;;;
